stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.021701,,0.0035762,0.021701,0.5049218,0.5049218,0.5209177,0.8037889,3.0262723,left,-10,1,1,2.5146189,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
1,1,8,3.0379191,,3.0264429,3.0379191,3.5379229,3.5379229,3.5379229,3.8378548,4.4060662,right,8,0,0,0.8510962,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
2,1,9,4.4211592,,4.4062512,4.4211592,4.9211555,4.9211555,4.9211555,,5.1394162,right,9,1,1,0.2161682,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
3,1,9,5.154706,,5.1396194,5.154706,5.6545193,5.6545193,5.6545193,,5.7886273,left,-9,1,1,0.1284315,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
4,1,9,5.8046061,,5.7887615,5.8046061,6.2879159,6.2879159,6.3041716,6.5882509,6.7555259,left,-9,1,1,0.4609675,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
5,1,8,6.7710461,,6.7556693,6.7710461,7.2562282,7.2562282,7.2729004,,7.3739544,right,8,1,1,0.1129748,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
6,1,8,7.3883491,,7.3741098,7.3883491,7.8878737,7.8878737,7.8878737,,8.1105201,left,-8,1,1,None,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
7,1,8,8.1215761,,8.1106596,8.1215761,8.6231919,8.6231919,8.6231919,,8.8075495,left,-8,1,1,0.1672463,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
8,0.5,7,8.8232476,,8.8078366,8.8232476,9.3217275,9.3217275,9.33799,9.6212429,9.7578409,right,7,0,0,0.4236235,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
9,0.5,7.5,9.7729043,,9.758038,9.7729043,10.2710589,10.2710589,10.2877226,10.5708895,10.6556215,left,-7.5,1,1,0.3786061,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
10,0.5,7.5,10.6708965,,10.6558124,10.6708965,11.1710375,11.1710375,11.1710375,,11.1887982,left,-7.5,0,0,0.011367,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
11,0.5,8,11.2044772,,11.1889373,11.2044772,11.6879041,11.6879041,11.7044287,11.9880317,12.1721003,left,-8,0,0,0.4722425,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
12,0.5,8.5,12.187541,,12.1722493,12.187541,12.6879343,12.6879343,12.6879343,12.9877281,12.9891189,right,8.5,1,1,0.292907,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
13,0.5,8.5,13.0040227,,12.9892582,13.0040227,13.5043145,13.5043145,13.5043145,13.8041108,13.8552427,left,-8.5,0,0,0.3374228,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
14,0.5,9,13.8706359,,13.8554049,13.8706359,14.3541483,14.3541483,14.3708664,14.6541176,14.7414977,right,9,1,1,0.3677217,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
15,0.5,9,14.756764,,14.7419503,14.756764,15.2564427,15.2564427,15.2564427,15.5706196,15.5883317,left,-9,0,0,0.3187537,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
16,0.5,9.5,15.6039449,,15.5884911,15.6039449,16.1041105,16.1041105,16.1041105,16.4040782,16.4554677,right,9.5,1,1,0.3407606,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
17,0.5,9.5,16.4706652,,16.4556561,16.4706652,16.9708909,16.9708909,16.9708909,17.2708024,17.3216833,left,-9.5,1,1,0.3372861,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
18,0.5,9.5,17.3373874,,17.3218228,17.3373874,17.8376619,17.8376619,17.8376619,,18.1050486,right,9.5,0,0,0.2529808,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
19,0.5,10,18.1206815,,18.1052439,18.1206815,18.6038295,18.6038295,18.6207301,18.9042212,18.9219563,left,-10,0,0,0.3150397,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
20,0.5,10.5,18.9374783,,18.9220979,18.9374783,19.4225645,19.4225645,19.4388701,,19.6246004,left,-10.5,1,1,0.1988355,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
21,0.5,10.5,19.6389096,,19.6248863,19.6389096,20.1388678,20.1388678,20.1388678,20.4382798,20.4407008,right,10.5,0,0,0.289613,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
22,0.5,11,20.45589,,20.4409927,20.45589,20.9537045,20.9537045,20.9702691,,21.1742073,left,-11,0,0,0.1817679,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
23,0.5,11.5,21.1898865,,21.1744205,21.1898865,21.6872764,21.6872764,21.7039782,21.9881496,21.9909086,left,-11.5,0,0,0.2936882,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
24,0.5,12,22.0046825,,21.9912925,22.0046825,22.5053265,22.5053265,22.5053265,22.8049768,22.9415536,left,-12,0,0,0.4286398,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
25,0.5,12.5,22.9549915,,22.9418762,22.9549915,23.4552473,23.4552473,23.4552473,23.7542188,24.2781178,right,12.5,1,1,0.8201666,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
26,0.5,12.5,24.2891688,,24.2784035,24.2891688,24.7899356,24.7899356,24.7899356,,24.8921899,right,12.5,1,1,0.0876656,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
27,0.5,12.5,24.9063065,,24.8925383,24.9063065,25.4047568,25.4047568,25.4217004,25.7056,25.7570733,left,-12.5,0,0,0.3452942,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
28,0.5,13,25.7700594,,25.757361,25.7700594,26.2722523,26.2722523,26.2722523,,26.4385975,right,13,1,1,0.1570777,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
29,0.5,13,26.4537634,,26.4388288,26.4537634,26.9536219,26.9536219,26.9536219,27.2556072,27.2407475,right,13,1,1,0.2790785,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
30,0.5,13,27.2556072,,27.2410361,27.2556072,27.7547807,27.7547807,27.7547807,,27.9222187,right,13,1,1,0.1634045,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
31,0.5,12.5,27.9375688,,27.9224399,27.9375688,28.436794,28.436794,28.436794,28.7368621,28.9545053,right,12.5,0,0,0.5008899,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
32,0.5,13,28.9700783,,28.9547184,28.9700783,29.4546624,29.4546624,29.4718916,,29.6069653,right,13,0,0,0.1466605,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
33,0.5,13.5,29.6212907,,29.6072558,29.6212907,30.1203126,30.1203126,30.1203126,30.4200572,30.4881644,right,13.5,0,0,0.3642556,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
34,0.5,14,30.5035005,,30.4883505,30.5035005,31.0034818,31.0034818,31.0034818,31.3033854,31.5405206,left,-14,1,1,0.5276375,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
35,0.5,14,31.5550819,,31.540844,31.5550819,32.0551242,32.0551242,32.0551242,32.370267,32.4209736,left,-14,1,1,0.3591264,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
36,0.5,14,32.4364444,,32.4212158,32.4364444,32.93664,32.93664,32.93664,33.2367035,33.4547975,right,14,0,0,0.5016053,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
37,0.5,14.5,33.4700088,,33.4549833,33.4700088,33.9700513,33.9700513,33.9700513,,34.0712974,right,14.5,0,0,0.0946587,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
38,0.5,15,34.0865053,,34.071442,34.0865053,34.5865952,34.5865952,34.5865952,34.8884592,34.9566954,right,15,1,1,0.3553142,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
39,0.5,15,34.9720138,,34.9570202,34.9720138,35.4714813,35.4714813,35.4714813,35.7714982,35.7737626,left,-15,1,1,0.2977829,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
40,0.5,15,35.7883941,,35.7740727,35.7883941,36.2876554,36.2876554,36.2876554,,36.5545462,left,-15,0,0,0.2636345,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
41,0.5,15.5,36.5700303,,36.5547044,36.5700303,37.0703217,37.0703217,37.0703217,37.3700686,37.3713962,left,-15.5,0,0,0.2875058,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
42,0.5,16,37.3866759,,37.3715385,37.3866759,37.8867222,37.8867222,37.8867222,,38.0542967,left,-16,0,0,0.1537535,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
43,0.5,16.5,38.0702542,,38.0544384,38.0702542,38.5699488,38.5699488,38.5699488,38.8696376,38.9544078,right,16.5,0,0,0.3825827,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
44,0.5,17,38.9698592,,38.9545594,38.9698592,39.4530812,39.4530812,39.4697935,39.7531285,39.7391685,left,-17,0,0,0.2841955,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
45,0.5,17.5,39.7531285,,39.7393235,39.7531285,40.2544351,40.2544351,40.2544351,40.5553505,40.6238862,right,17.5,0,0,0.3534964,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
46,0.5,18,40.6382075,,40.6241875,40.6382075,41.1383025,41.1383025,41.1383025,41.4379446,41.4405586,left,-18,0,0,0.2943505,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
47,0.5,18.5,41.4542659,,41.4408553,41.4542659,41.9542959,41.9542959,41.9542959,42.2541881,42.3893462,right,18.5,0,0,0.4262683,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
48,0.5,19,42.4040386,,42.3896375,42.4040386,42.9043886,42.9043886,42.9043886,,43.1567335,left,-19,0,0,0.2463665,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
49,0.5,19.5,43.1718719,,43.1570814,43.1718719,43.6697932,43.6697932,43.6864259,43.9696373,44.1039136,right,19.5,1,1,0.4234938,3,1,2024-09-06_13h57.50.285,Adaptive staircase,2024.2.1post4,61.38750499,2024-09-06 13h57.55.538460 +0530
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Absolute threshold,14.9,,,,,,,,,
